"","instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date","hour"
"1",1,2011-01-01,1,0,"Jan",0,0,6,0,"Clear-Few clouds",0.24,0.2879,0.81,0,3,13,16,2011-01-01,0
"2",2,2011-01-01,1,0,"Jan",1,0,6,0,"Clear-Few clouds",0.22,0.2727,0.8,0,8,32,40,2011-01-01,1
"3",3,2011-01-01,1,0,"Jan",2,0,6,0,"Clear-Few clouds",0.22,0.2727,0.8,0,5,27,32,2011-01-01,2
"4",4,2011-01-01,1,0,"Jan",3,0,6,0,"Clear-Few clouds",0.24,0.2879,0.75,0,3,10,13,2011-01-01,3
"5",5,2011-01-01,1,0,"Jan",4,0,6,0,"Clear-Few clouds",0.24,0.2879,0.75,0,0,1,1,2011-01-01,4
"6",6,2011-01-01,1,0,"Jan",5,0,6,0,"Mist-Cloudy",0.24,0.2576,0.75,0.0896,0,1,1,2011-01-01,5
"7",7,2011-01-01,1,0,"Jan",6,0,6,0,"Clear-Few clouds",0.22,0.2727,0.8,0,2,0,2,2011-01-01,6
"8",8,2011-01-01,1,0,"Jan",7,0,6,0,"Clear-Few clouds",0.2,0.2576,0.86,0,1,2,3,2011-01-01,7
"9",9,2011-01-01,1,0,"Jan",8,0,6,0,"Clear-Few clouds",0.24,0.2879,0.75,0,1,7,8,2011-01-01,8
"10",10,2011-01-01,1,0,"Jan",9,0,6,0,"Clear-Few clouds",0.32,0.3485,0.76,0,8,6,14,2011-01-01,9
"11",11,2011-01-01,1,0,"Jan",10,0,6,0,"Clear-Few clouds",0.38,0.3939,0.76,0.2537,12,24,36,2011-01-01,10
"12",12,2011-01-01,1,0,"Jan",11,0,6,0,"Clear-Few clouds",0.36,0.3333,0.81,0.2836,26,30,56,2011-01-01,11
"13",13,2011-01-01,1,0,"Jan",12,0,6,0,"Clear-Few clouds",0.42,0.4242,0.77,0.2836,29,55,84,2011-01-01,12
"14",14,2011-01-01,1,0,"Jan",13,0,6,0,"Mist-Cloudy",0.46,0.4545,0.72,0.2985,47,47,94,2011-01-01,13
"15",15,2011-01-01,1,0,"Jan",14,0,6,0,"Mist-Cloudy",0.46,0.4545,0.72,0.2836,35,71,106,2011-01-01,14
